TleafC,E,H2OS,stomatal_ratio,gbw,gc
24.66640778,0.006466419,17.33944231,1,4.5,0.0016
24.41302075,0.006466412,23.03095503,1,4.5,0.0016
24.68027121,0.006011172,16.31273981,1,4.5,0.0016
24.44904765,0.006092023,22.83592135,1,4.5,0.0016
24.60231875,0.006505367,17.40861437,1,4.5,0.0016
24.338586,0.006496267,23.20500282,1,4.5,0.0016
24.60154877,0.006544118,17.59531114,1,4.5,0.0016
24.35203258,0.006599618,23.56857232,1,4.5,0.0016
24.608786,0.006641474,17.86647404,1,4.5,0.0016
24.34413856,0.006615441,23.7090716,1,4.5,0.0016
24.58334478,0.006994207,18.87626656,1,4.5,0.0016
24.32484155,0.006970155,24.29957015,1,4.5,0.0016
